# Exhaustive accepted live-answer disposition baseline for GK 1.407 weekday NPC graphs.
# Derived only from accepted raw/lifecycle/task/frontier evidence; no display-text heuristics.
# Runtime watchdog keys exact authored occurrence by npc + Flow_MultiAnswer node + answer index/id.
# Counts: EVENT_INVOKED_NON_REMINDER=14, NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER=67, REMINDER_DIALOGUE_OWNER=58, REMINDER_TASK_OWNED=88, SAME_VISIT_DESCENDANT_OF_DIALOGUE_OWNER=6, SAME_VISIT_DESCENDANT_OF_TASK_OWNER=6, SAME_VISIT_NON_REMINDER=4
# Invariant: 243/243 raw answer occurrences classified; UNKNOWN=0.
npc	multi	index	answer	disposition	owner	evidence
npc_actress	30	0	actress_2a_2	REMINDER_TASK_OWNED	actress_2a_2	lifecycle-census
npc_actress	30	1	actress_2b	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_actress	30	2	@actress_snake_back	REMINDER_TASK_OWNED	@actress_snake_back	lifecycle-census
npc_actress	30	3	@actress_father	REMINDER_DIALOGUE_OWNER	@actress_father	lifecycle-census
npc_actress	30	4	@actress_money_back	REMINDER_TASK_OWNED	@actress_money_back	lifecycle-census
npc_actress	30	5	@actress_parfume_ready	REMINDER_TASK_OWNED	@actress_parfume_ready	lifecycle-census
npc_actress	30	6	@actress_story_gold	REMINDER_TASK_OWNED	@actress_story_gold	lifecycle-census
npc_actress	30	7	@actress_lute_done	REMINDER_TASK_OWNED	@actress_lute_done	lifecycle-census
npc_actress	30	8	@actress_title	REMINDER_TASK_OWNED	@actress_title	lifecycle-census
npc_actress	30	9	@actress_ song_done	REMINDER_TASK_OWNED	actress_song	task-route-snapshot
npc_actress	30	10	@actress_marketing	REMINDER_DIALOGUE_OWNER	@actress_marketing	lifecycle-census
npc_actress	30	11	@actress_ jewelry	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_actress	30	12	@tr_quest_8_singing_charm_1	REMINDER_DIALOGUE_OWNER	@tr_quest_8_singing_charm_1	lifecycle-census
npc_actress	30	13	@tr_quest_8_singing_charm_8	REMINDER_TASK_OWNED	@tr_quest_8_singing_charm_8	lifecycle-census
npc_actress	30	14	@actress_trade	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_actress	30	15	@souls_s_s31_ask	REMINDER_TASK_OWNED	@souls_s_s31_ask	lifecycle-census
npc_actress	30	16	Leave	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_actress	67	0	@actress_2b_1a	REMINDER_DIALOGUE_OWNER	@actress_2b_1a	lifecycle-census
npc_actress	67	1	@actress_2b_1b	REMINDER_DIALOGUE_OWNER	@actress_2b_1b	lifecycle-census
npc_actress	67	2	actress_no_question	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_actress	968	0	tr_quest_8_singing_charm_7a	REMINDER_TASK_OWNED	dlc_stories_persuade_charm	task-route-snapshot
npc_actress	968	1	tr_quest_8_singing_charm_7b	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_actress	968	2	tr_quest_8_singing_charm_7c	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_astrologer	44	0	astrologer_2a	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_astrologer	44	1	astrologer_2b	REMINDER_TASK_OWNED	astrologer_2b	lifecycle-census
npc_astrologer	44	2	@astrologer_diary	REMINDER_TASK_OWNED	astrologer_diary	task-route-snapshot
npc_astrologer	44	3	@astrologer_acid	REMINDER_TASK_OWNED	@astrologer_acid	lifecycle-census
npc_astrologer	44	4	@astrologer_tools	REMINDER_TASK_OWNED	@astrologer_tools	lifecycle-census
npc_astrologer	44	5	@astrologer_necronamicon	REMINDER_DIALOGUE_OWNER	@astrologer_necronamicon	lifecycle-census
npc_astrologer	44	6	@astrologer_charm	REMINDER_TASK_OWNED	@astrologer_charm	lifecycle-census
npc_astrologer	44	7	@astrologer_charm_no	REMINDER_TASK_OWNED	@astrologer_charm_no	lifecycle-census
npc_astrologer	44	8	@astrologer_charm_know	REMINDER_TASK_OWNED	@astrologer_charm_know	lifecycle-census
npc_astrologer	44	9	@astrolog_expedition	REMINDER_DIALOGUE_OWNER	@astrolog_expedition	lifecycle-census
npc_astrologer	44	10	@astrologer_silver	REMINDER_TASK_OWNED	@astrologer_silver	lifecycle-census
npc_astrologer	44	11	@astrologer_gold	REMINDER_TASK_OWNED	@astrologer_gold	lifecycle-census
npc_astrologer	44	12	@astrologer_title	REMINDER_TASK_OWNED	@astrologer_title	lifecycle-census
npc_astrologer	44	13	@astrologer_fix_mill	REMINDER_DIALOGUE_OWNER	@astrologer_fix_mill	lifecycle-census
npc_astrologer	44	14	@astrologer_fix	REMINDER_DIALOGUE_OWNER	@astrologer_fix	lifecycle-census
npc_astrologer	44	15	@astrologer_last_0	REMINDER_DIALOGUE_OWNER	@astrologer_last_0	lifecycle-census
npc_astrologer	44	16	@astrologer_items	REMINDER_DIALOGUE_OWNER	@astrologer_items	lifecycle-census
