# Accepted GK 1.407 lifecycle census fixture for Day Wheel Quest Markers 1.1.6.
# Provenance: player runtime census probe 0.1.0, exact source 537835501873cb0d5156a2c5db58b99065f8bad8.
# This is compact derived evidence, not copied game assets/serialized graphs.
npc	branch	multi	index	path	blacklists	taskOwned	independentOwnerRoot	reversible	jumps	acceptedOwner	acceptedOwnerKind	acceptedDisposition
npc_astrologer	@astrolog_expedition	44	9	@astrolog_expedition	@astrolog_expedition	False	True	False	1	@astrolog_expedition	self	ADMIT
npc_astrologer	@astrologer_2a_1a_1	67	0	astrologer_2a>@astrologer_2a_1a_1	@astrologer_2a_1a_1,astrologer_2a	False	True	False	1	@astrologer_2a_1a_1	self	ADMIT
npc_astrologer	@astrologer_about_acid	507	0	@astrologer_diary>astrologer_diary_9a>@astrologer_about_acid	@astrologer_about_acid	False	False	False	0	@astrologer_about_acid	self	SUPPRESS_SAME_VISIT
npc_astrologer	@astrologer_about_acid	507	0	@astrologer_diary>astrologer_diary_9b>@astrologer_about_acid	@astrologer_about_acid	False	False	False	0	@astrologer_about_acid	self	SUPPRESS_SAME_VISIT
npc_astrologer	@astrologer_about_tools	507	1	@astrologer_diary>astrologer_diary_9a>@astrologer_about_tools	@astrologer_about_tools	False	False	False	0	@astrologer_about_tools	self	SUPPRESS_SAME_VISIT
npc_astrologer	@astrologer_about_tools	507	1	@astrologer_diary>astrologer_diary_9b>@astrologer_about_tools	@astrologer_about_tools	False	False	False	0	@astrologer_about_tools	self	SUPPRESS_SAME_VISIT
npc_astrologer	@astrologer_acid	44	3	@astrologer_acid	@astrologer_acid	True	True	False	0	@astrologer_acid	self	SUPPRESS_TASK_OWNED
npc_astrologer	@astrologer_charm	44	6	@astrologer_charm	@astrologer_charm	True	True	False	1	@astrologer_charm	self	SUPPRESS_TASK_OWNED
npc_astrologer	@astrologer_charm_know	44	8	@astrologer_charm_know	@astrologer_charm_know	True	True	False	1	@astrologer_charm_know	self	SUPPRESS_TASK_OWNED
npc_astrologer	@astrologer_charm_no	44	7	@astrologer_charm_no	@astrologer_charm_no	True	True	False	1	@astrologer_charm_no	self	SUPPRESS_TASK_OWNED
npc_astrologer	@astrologer_fix	44	14	@astrologer_fix	@astrologer_fix	False	True	False	1	@astrologer_fix	self	ADMIT
npc_astrologer	@astrologer_fix_mill	44	13	@astrologer_fix_mill	@astrologer_fix_mill	False	True	False	1	@astrologer_fix_mill	self	ADMIT
npc_astrologer	@astrologer_gold	44	11	@astrologer_gold	@astrologer_gold,@tr_quest_13_research_1	True	True	False	1	@astrologer_gold	self	SUPPRESS_TASK_OWNED
npc_astrologer	@astrologer_items	44	16	@astrologer_items	@astrologer_items	False	True	False	1	@astrologer_items	self	ADMIT
npc_astrologer	@astrologer_last_0	44	15	@astrologer_last_0	@astrologer_last_0	False	True	False	1	@astrologer_last_0	self	ADMIT
npc_astrologer	@astrologer_necronamicon	44	5	@astrologer_necronamicon	@astrologer_necronamicon	False	True	False	1	@astrologer_necronamicon	self	ADMIT
npc_astrologer	@astrologer_silver	44	10	@astrologer_silver	@astrologer_silver,@tr_quest_13_research_1	True	True	False	1	@astrologer_silver	self	SUPPRESS_TASK_OWNED
npc_astrologer	@astrologer_title	44	12	@astrologer_title	@astrologer_title	True	True	False	1	@astrologer_title	self	SUPPRESS_TASK_OWNED
npc_astrologer	@astrologer_tools	44	4	@astrologer_tools	@astrologer_tools	True	True	False	0	@astrologer_tools	self	SUPPRESS_TASK_OWNED
npc_astrologer	@refugees_s_ev_7_1_1	44	18	@refugees_s_ev_7_1_1	@refugees_s_ev_7_1_1	True	True	False	1	@refugees_s_ev_7_1_1	self	SUPPRESS_TASK_OWNED
npc_astrologer	@souls_s_s30_ask	44	20	@souls_s_s30_ask	@souls_s_s30_ask	True	True	False	1	@souls_s_s30_ask	self	SUPPRESS_TASK_OWNED
npc_astrologer	astrologer_2a_1b_6a	104	0	astrologer_2a>@astrologer_2a_1b_1>astrologer_2a_1b_6a	@astrologer_2a_1b_1,astrologer_2a,astrologer_2a_1b_6a	False	True	False	1	astrologer_2a_1b_6a	self	ADMIT
npc_astrologer	astrologer_2a_1b_6b	104	1	astrologer_2a>@astrologer_2a_1b_1>astrologer_2a_1b_6b	@astrologer_2a_1b_1,astrologer_2a,astrologer_2a_1b_6b	False	True	False	1	astrologer_2a_1b_6b	self	ADMIT
npc_astrologer	astrologer_2a_1b_6c	104	2	astrologer_2a>@astrologer_2a_1b_1>astrologer_2a_1b_6c	@astrologer_2a_1b_1,astrologer_2a,astrologer_2a_1b_6c	False	True	False	1	astrologer_2a_1b_6c	self	ADMIT
npc_astrologer	astrologer_2b	44	1	astrologer_2b	astrologer_2b	True	True	False	0	astrologer_2b	self	SUPPRESS_TASK_OWNED
npc_astrologer	astrologer_diary_9a	219	0	@astrologer_diary>astrologer_diary_9a	@astrologer_diary,astrologer_diary_9a	False	False	False	0	astrologer_diary_9a	self	SUPPRESS_SAME_VISIT
npc_astrologer	astrologer_diary_9b	219	1	@astrologer_diary>astrologer_diary_9b	@astrologer_diary,astrologer_diary_9b	False	False	False	0	astrologer_diary_9b	self	SUPPRESS_SAME_VISIT
npc_astrologer	tr_quest_13_research_2	1384	0	@tr_quest_13_research_1>tr_quest_13_research_2	@astrologer_gold,@astrologer_silver,@tr_quest_13_research_1	False	True	False	0	@tr_quest_13_research_1	ancestor	ADMIT
npc_inquisitor	@inquisitor_ceremony	843	9	@inquisitor_ceremony	@inquisitor_ceremony	True	True	False	1	@inquisitor_ceremony	self	SUPPRESS_TASK_OWNED
npc_inquisitor	@inquisitor_firewood_1	736	3	@inquisitor_firewood_1	@inquisitor_firewood_1	True	True	False	0	@inquisitor_firewood_1	self	SUPPRESS_TASK_OWNED
npc_inquisitor	@inquisitor_firewood_1	736	3	@inquisitor_grave_1_1>@inquisitor_firewood_1	@inquisitor_firewood_1	True	True	False	0	@inquisitor_firewood_1	self	SUPPRESS_TASK_OWNED
npc_inquisitor	@inquisitor_firewood_1_buy	736	5	@inquisitor_firewood_1_buy	@inquisitor_firewood_1_buy	True	True	False	0	@inquisitor_firewood_1_buy	self	SUPPRESS_TASK_OWNED
npc_inquisitor	@inquisitor_firewood_1_buy	736	5	@inquisitor_grave_1_1>@inquisitor_firewood_1_buy	@inquisitor_firewood_1_buy	True	True	False	0	@inquisitor_firewood_1_buy	self	SUPPRESS_TASK_OWNED
npc_inquisitor	@inquisitor_flyer	736	4	@inquisitor_flyer	@inquisitor_flyer	True	True	False	0	@inquisitor_flyer	self	SUPPRESS_TASK_OWNED
npc_inquisitor	@inquisitor_flyer	736	4	@inquisitor_grave_1_1>@inquisitor_flyer	@inquisitor_flyer	True	True	False	0	@inquisitor_flyer	self	SUPPRESS_TASK_OWNED
npc_inquisitor	@inquisitor_flyer_buy	736	6	@inquisitor_flyer_buy	@inquisitor_flyer_buy	True	True	False	0	@inquisitor_flyer_buy	self	SUPPRESS_TASK_OWNED
npc_inquisitor	@inquisitor_flyer_buy	736	6	@inquisitor_grave_1_1>@inquisitor_flyer_buy	@inquisitor_flyer_buy	True	True	False	0	@inquisitor_flyer_buy	self	SUPPRESS_TASK_OWNED
npc_inquisitor	@inquisitor_grave_1_1	736	0	@inquisitor_grave_1_1	@inquisitor_grave_1_1	False	True	False	0	@inquisitor_grave_1_1	self	ADMIT
npc_inquisitor	@inquisitor_grave_1_1	736	0	@inquisitor_grave_1_1>@inquisitor_grave_1_1	@inquisitor_grave_1_1	False	True	False	0	@inquisitor_grave_1_1	self	ADMIT
